doid_code	doid_name	locus	high_confidence	pubmed_ids	status	primary	gene	symbol	hgnc_id	hgnc_id_int
DOID:9970	obesity	2	1	22484627	HC-P	1	10562	OLFM4	HGNC:17190	17190
DOID:9970	obesity	51	1	19557161	HC-P	1	127018	LYPLAL1	HGNC:20440	20440
DOID:9970	obesity	54	1	23563609|20421936	HC-P	1	129787	TMEM18	HGNC:25257	25257
DOID:9970	obesity	52	1	23563609	HC-P	1	257194	NEGR1	HGNC:17302	17302
DOID:9970	obesity	59	1	22484627	HC-P	1	3215	HOXB5	HGNC:5116	5116
DOID:9970	obesity	45	1	21706003	HC-P	1	3667	IRS1	HGNC:6125	6125
DOID:9970	obesity	13	1	23563609	HC-P	1	3953	LEPR	HGNC:6554	6554
DOID:9970	obesity	31	1	19151714	HC-P	1	4094	MAF	HGNC:6776	6776
DOID:9970	obesity	0	1	19151714|23563609|20421936|22013104	HC-P	1	4160	MC4R	HGNC:6932	6932
DOID:9970	obesity	20	1	23563609	HC-P	1	55690	PACS1	HGNC:30032	30032
DOID:9970	obesity	50	1	23563609	HC-P	1	5583	PRKCH	HGNC:9403	9403
DOID:9970	obesity	39	1	19557161|21935397	HC-P	1	7021	TFAP2B	HGNC:11743	11743
DOID:9970	obesity	28	1	19151714|23563609|21706003|20421936|21552555|19553259|21544081|18159244	HC-P	1	79068	FTO	HGNC:24678	24678
DOID:9970	obesity	26	1	21552555	HC-P	1	9369	NRXN3	HGNC:8010	8010
DOID:9970	obesity	54	1	23563609|20421936	HC-S	0	285016	FAM150B	HGNC:27683	27683
DOID:9970	obesity	59	1	22484627	HC-S	0	3213	HOXB3	HGNC:5114	5114
DOID:9970	obesity	8	1	20421936	HC-S	0	4482	MSRA	HGNC:7377	7377
DOID:9970	obesity	45	1	21706003	HC-S	0	57624	NYAP2	HGNC:29291	29291
DOID:9970	obesity	31	1	19151714	HC-S	0	83657	DYNLRB2	HGNC:15467	15467
DOID:9970	obesity	8	1	20421936	HC-S	0	8658	TNKS	HGNC:11941	11941
DOID:9970	obesity	1	0	21706003	LC-P	1	10253	SPRY2	HGNC:11270	11270
DOID:9970	obesity	48	0	21552555	LC-P	1	10477	UBE2E3	HGNC:12479	12479
DOID:9970	obesity	56	0	23563609	LC-P	1	10667	FARS2	HGNC:21062	21062
DOID:9970	obesity	11	0	20421936	LC-P	1	10806	SDCCAG8	HGNC:10671	10671
DOID:9970	obesity	32	0	19553259	LC-P	1	133022	TRAM1L1	HGNC:28371	28371
DOID:9970	obesity	33	0	19553259	LC-P	1	140733	MACROD2	HGNC:16126	16126
DOID:9970	obesity	17	0	19553259	LC-P	1	143662	MUC15	HGNC:14956	14956
DOID:9970	obesity	7	0	23818313	LC-P	1	202333	CMYA5	HGNC:14305	14305
DOID:9970	obesity	43	0	21552555	LC-P	1	2195	FAT1	HGNC:3595	3595
DOID:9970	obesity	3	0	19553259	LC-P	1	2201	FBN2	HGNC:3604	3604
DOID:9970	obesity	6	0	23563609	LC-P	1	2294	FOXF1	HGNC:3809	3809
DOID:9970	obesity	34	0	19553259	LC-P	1	23180	RFTN1	HGNC:30278	30278
DOID:9970	obesity	62	0	21552555	LC-P	1	23760	PITPNB	HGNC:9002	9002
DOID:9970	obesity	24	0	23818313	LC-P	1	29969	MDFIC	HGNC:28870	28870
DOID:9970	obesity	55	0	21552555	LC-P	1	3625	INHBB	HGNC:6067	6067
DOID:9970	obesity	14	0	19553259	LC-P	1	3710	ITPR3	HGNC:6182	6182
DOID:9970	obesity	46	0	21552555	LC-P	1	375612	LHFPL3	HGNC:6589	6589
DOID:9970	obesity	10	0	21708048	LC-P	1	3778	KCNMA1	HGNC:6284	6284
DOID:9970	obesity	40	0	21552555	LC-P	1	383	ARG1	HGNC:663	663
DOID:9970	obesity	15	0	21552555	LC-P	1	427	ASAH1	HGNC:735	735
DOID:9970	obesity	23	0	19553259	LC-P	1	4295	MLN	HGNC:7141	7141
DOID:9970	obesity	42	0	23563609	LC-P	1	4814	NINJ1	HGNC:7824	7824
DOID:9970	obesity	25	0	19151714	LC-P	1	4864	NPC1	HGNC:7897	7897
DOID:9970	obesity	30	0	22013104	LC-P	1	5079	PAX5	HGNC:8619	8619
DOID:9970	obesity	61	0	21552555	LC-P	1	5101	PCDH9	HGNC:8661	8661
DOID:9970	obesity	12	0	21552555	LC-P	1	51741	WWOX	HGNC:12799	12799
DOID:9970	obesity	35	0	23563609	LC-P	1	55170	PRMT6	HGNC:18241	18241
DOID:9970	obesity	63	0	19553259	LC-P	1	5551	PRF1	HGNC:9360	9360
DOID:9970	obesity	49	0	19714249	LC-P	1	55553	SOX6	HGNC:16421	16421
DOID:9970	obesity	27	0	23818313	LC-P	1	5629	PROX1	HGNC:9459	9459
DOID:9970	obesity	41	0	22013104	LC-P	1	56945	MRPS22	HGNC:14508	14508
DOID:9970	obesity	36	0	19553259	LC-P	1	57142	RTN4	HGNC:14085	14085
DOID:9970	obesity	38	0	21935397	LC-P	1	57172	CAMK1G	HGNC:14585	14585
DOID:9970	obesity	53	0	19553259	LC-P	1	57209	ZNF248	HGNC:13041	13041
DOID:9970	obesity	47	0	19553259	LC-P	1	5915	RARB	HGNC:9865	9865
DOID:9970	obesity	64	0	21708048	LC-P	1	627	BDNF	HGNC:1033	1033
DOID:9970	obesity	60	0	23563609	LC-P	1	6337	SCNN1A	HGNC:10599	10599
DOID:9970	obesity	9	0	19557161	LC-P	1	6905	TBCE	HGNC:11582	11582
DOID:9970	obesity	21	0	23563609	LC-P	1	6925	TCF4	HGNC:11634	11634
DOID:9970	obesity	22	0	22484627	LC-P	1	80216	ALPK1	HGNC:20917	20917
DOID:9970	obesity	5	0	23563609	LC-P	1	84318	CCDC77	HGNC:28203	28203
DOID:9970	obesity	57	0	19151714	LC-P	1	9317	PTER	HGNC:9590	9590
DOID:9970	obesity	16	0	21935397	LC-P	1	9628	RGS6	HGNC:10002	10002
DOID:9970	obesity	53	0	19553259	LC-S	0	100288485	MTRNR2L7	HGNC:37164	37164
DOID:9970	obesity	29	0	23563609	LC-S	0	220213	OTUD1	HGNC:27346	27346
DOID:9970	obesity	19	0	21935397	LC-S	0	283777	FAM169B	HGNC:26835	26835
DOID:9970	obesity	7	0	23818313	LC-S	0	345778	MTX3	HGNC:24812	24812
DOID:9970	obesity	36	0	19553259	LC-S	0	400954	EML6	HGNC:35412	35412
DOID:9970	obesity	43	0	21552555	LC-S	0	4543	MTNR1A	HGNC:7463	7463
DOID:9970	obesity	4	0	19553259	LC-S	0	54891	INO80D	HGNC:25997	25997
DOID:9970	obesity	29	0	23563609	LC-S	0	56243	KIAA1217	HGNC:25428	25428
DOID:9970	obesity	48	0	21552555	LC-S	0	57703	CWC22	HGNC:29322	29322
DOID:9970	obesity	17	0	19553259	LC-S	0	63982	ANO3	HGNC:14004	14004
DOID:9970	obesity	4	0	19553259	LC-S	0	8828	NRP2	HGNC:8005	8005
DOID:9970	obesity	15	0	21552555	LC-S	0	9	NAT1	HGNC:7645	7645
DOID:9970	obesity	19	0	21935397	LC-S	0	91947	ARRDC4	HGNC:28087	28087
DOID:9952	acute lymphocytic leukemia	20	1	23512250|19684604|19684603	HC-P	1	10320	IKZF1	HGNC:13176	13176
DOID:9952	acute lymphocytic leukemia	3	1	23512250|19684604	HC-P	1	1053	CEBPE	HGNC:1836	1836
